Row,Source Name,RA J2000 Degs,Dec J2000 Degs,Alternate Name,Source Type,Today#,Yesterday#,Tenday#,Mean*,Peak*,Days*,Last Day*
1,QSO B0003-066,1.55789,-6.39315,NRAO 005,BL Lac,-,-,-,-,-,-,-
2,PSR J0007+7303,1.75600,73.0520,0FGL J0007.4+7303,Pulsar,-,-,-,0,62,4,58107 ( 2074)
3,QSO B0007+107,2.62919,10.9749,Mrk 1501,Sy1,-,-,-,0,0,1,1 (    0)
4,QSO B0016+73,4.94078,73.4583,,Quasar,-,-,-,0,0,3,1 (    0)
5,IGR J00234+6141,5.74000,61.6850,V1033 Cas,CV,-,-,-,0,0,5,1 (    0)
6,NGC 104,6.02400,72.0810,0FGL J0025.1-7202,Globular cluster,-,-,-,-,-,-,-
7,V709 Cas,7.20362,59.2894,RX J0028.8+5917,CV/DQ Her,-,-,-,4,32,14,53785 ( 6396)
8,IGR J00291+5934,7.26300,59.5720,IGR00291+5934,LMXB,-,-,-,0,54,12,57228 ( 2953)
9,PSR J0030+0451,7.61400,4.86100,0FGL J0030.3+0450,Pulsar,-,-,-,0,0,1,1 (    0)
10,2CG 121+04,8.00000,66.8000,1CG 121+03,Gamma-ray source,-,-,10 ( 3.4),0,0,1,1 (    0)
11,KUV 00311-1938,8.39300,-19.3590,0FGL J0033.6-1921,BL Lac,-,24 ( 2.2),-,-,-,-,-
12,V826 Cas,8.76146,61.3173,,Variable star,41 ( 2.5),-,7 ( 2.4),0,0,1,1 (    0)
13,QSO B0033+595,8.96929,59.8346,1ES 0033+595,BL Lac,-,-,-,2,31,15,56554 ( 3627)
14,IGR J00370+6122,9.29000,61.3600,BD +60 73,HMXB/NS,-,-,-,0,41,28,54553 ( 5628)
15,CXOM31 004211.37+41042551,10.5470,41.0740,NULL,NULL,-,-,-,0,0,4,1 (    0)
16,NGC 235,10.7200,-23.5410,NULL,Sy1,-,25 ( 2.4),10 ( 2.5),1,0,1,1 (    0)
17,Zeta And,11.8346,24.2672,NULL,Beta Lyra binary,-,-,14 ( 3.1),0,43,3,53785 ( 6396)
18,NGC 253,11.9000,-25.2830,,Sy,-,-,-,-,-,-,-
19,NGC 262,12.1964,31.9570,Mrk 348,Sy2,-,-,14 ( 3.4),5,0,14,1 (    0)
20,XTE J0055-727,12.2980,-72.8270,MACHO 208.15911.13,HMXB,-,-,-,0,0,1,1 (    0)
21,QSO B0048-09,12.6722,-9.48478,,BL Lac,-,-,-,-,-,-,-
22,PKS 0048-071,12.7840,-6.83400,0FGL J0051.1-0647,Quasar,-,-,-,-,-,-,-
23,Mrk 1148,12.9780,17.4330,NULL,Sy1,-,-,-,-,-,-,-
24,SMC X-3,13.0250,-72.4330,,HMXB,-,-,-,1,100,64,57629 ( 2552)
25,RX J0052.1-7319,13.0921,-73.3181,2E 0050.4-733,HMXB,-,-,-,0,0,4,1 (    0)
26,CF Tuc,13.2825,-74.6517,NULL,RS CVn,-,-,-,0,155,6,60036 (  145)
27,SMC X-2,13.6508,-73.6760,NULL,NULL,-,-,-,0,31,14,57292 ( 2889)
28,Gam Cas,14.1772,60.7167,4U 0054+60,Star/Be,-,-,6 ( 2.1),5,65,20,53806 ( 6375)
29,IGR J00569-7226,14.2600,-72.4320,NULL,NULL,-,-,4 ( 2.1),-,-,-,-
30,RX J0059.2-7138,14.8030,-71.6460,NULL,NULL,-,-,-,0,0,15,1 (    0)
31,PMN J0100+0745,15.0860,7.76300,0FGL J0100.2+0750,Radio source,-,-,-,0,0,2,1 (    0)
32,RX J0101.8-7223,15.4680,-72.3910,NULL,HMXB,-,-,-,0,0,1,1 (    0)
33,7C 0059+5808,15.6907,58.4031,,Blazar,-,-,-,0,0,3,1 (    0)
34,IGR J01054-7253,16.1760,-72.9010,NULL,HMXB/NS,-,-,-,0,0,2,1 (    0)
35,4C 01.02,17.1615,1.58342,,Quasar,-,-,-,0,0,3,1 (    0)
36,Fermi J0109+6134,17.4450,61.5580,NULL,Gamma-ray source,-,22 ( 2.0),7 ( 2.2),0,0,4,1 (    0)
37,QSO B0109+224,18.0243,22.7441,,BL Lac,-,-,-,-,-,-,-
38,4C 31.03,18.2100,32.1380,NULL,Quasar,-,32 ( 2.0),-,0,0,2,1 (    0)
39,NGC 454,18.5955,-55.3988,SWIFT J0114.4-5522,Sy2,-,-,-,-,-,-,-
40,AY Cet,19.1513,-2.50028,NULL,Binary,-,-,-,-,-,-,-
41,UV Psc,19.2296,6.81167,NULL,Beta Lyra binary,-,-,-,-,-,-,-
42,SMC X-1,19.2710,-73.4430,4U 0115-73,HMXB/NS,53 ( 2.6),82 ( 9.1),54 (25.2),26,93,2429,56027 ( 4154)
43,3A 0114+650,19.5112,65.2916,V662 Cas,HMXB/NS,-,-,-,7,134,399,54490 ( 5691)
44,4U 0115+634,19.6290,63.7400,V635 Cas,HMXB/NS,-,-,-,1,2119,176,60042 (  139)
45,PKS 0116-219,19.7380,-21.6920,0FGL J0118.7-2139,Quasar,-,-,-,-,-,-,-
46,PKS 0118-272,20.1320,-27.0230,0FGL J0120.5-2703,BL Lac,-,-,-,0,0,1,1 (    0)
47,IGR J01217-7257,20.4190,-72.9560,NULL,NULL,-,-,-,-,-,-,-
48,QSO B0119+115,20.4233,11.8307,,Quasar,-,-,-,0,0,1,1 (    0)
49,HD 8357,20.7367,7.41917,1H 0123+075,X-ray binary,-,-,-,0,63,3,53784 ( 6397)
50,1ES 0120+34.0,20.7860,34.3480,2E 0120.3+3404,BL Lac,-,-,10 ( 2.5),-,-,-,-
51,QSO B0121-590,20.9417,-58.8066,Fairall 9,Sy1,-,-,5 ( 2.3),1,0,4,1 (    0)
52,NGC 526,20.9758,-35.0653,,Sy1.5,-,-,-,3,0,5,1 (    0)
53,NGC 612,23.4904,-36.4930,,Radio galaxy,-,-,10 ( 3.5),1,0,2,1 (    0)
54,IGR J01363+6610,24.0750,66.1750,[KRL2007b] 14,HMXB,-,-,12 ( 4.1),0,0,4,1 (    0)
55,RGB J0136+391,24.1360,39.1000,B3 0133+388,BL Lac,-,30 ( 2.1),-,0,0,4,1 (    0)
56,QSO B0133+476,24.2441,47.8581,DA 55,Quasar,-,-,-,0,0,4,1 (    0)
57,ESO 297- 18,24.6549,-40.0113,,Sy2,-,-,-,2,0,1,1 (    0)
58,UV Cet,24.7563,-17.9506,NULL,Flare star,-,-,-,0,0,3,1 (    0)
59,TXS 0141+268,26.1370,27.0920,0FGL J0144.5+2709,Gamma-ray source,-,-,-,0,0,1,1 (    0)
60,PKS 0142-278,26.2640,-27.5600,0FGL J0145.1-2728,Quasar,-,-,-,0,0,1,1 (    0)
61,PSR J0146+61,26.5934,61.7509,,AXP,-,-,-,1,0,2,1 (    0)
62,RX J0146.9+6121,26.7510,61.3570,NULL,NULL,-,-,6 ( 2.2),2,57,9,59838 (  343)
63,RGB J0152+017,28.1660,1.78900,2MASX J01523964+0147167,BL Lac,-,-,-,0,38,2,53784 ( 6397)
64,IGR J01572-7259,29.3170,-72.9760,NULL,NULL,-,-,-,1,0,1,1 (    0)
65,MAXI J0158-744,29.8580,-74.2570,NULL,NULL,-,-,4 ( 2.2),0,0,1,1 (    0)
66,NGC 788,30.2769,-6.81586,,Sy2,-,-,-,2,31,3,53784 ( 6397)
67,QSO B0202+149,31.2000,15.2330,4C 15.05,Blazar,-,-,-,0,0,1,1 (    0)
68,PKS 0202-17,31.2400,-17.0220,0FGL J0204.8-1704,Quasar,-,-,-,-,-,-,-
69,QSO B0202+319,31.2705,32.2084,,Quasar,-,-,-,0,0,1,1 (    0)
70,QSO J0209+5226,32.3930,52.4430,Leda 138501,Sy1,-,-,-,2,0,3,1 (    0)
71,RX J0209.6-7427,32.3939,-74.4533,NULL,NULL,-,-,-,6,101,41,58826 ( 1355)
72,QSO B0208-5115,32.6920,-51.0170,NULL,BL Lac,-,-,-,0,0,1,1 (    0)
73,RGB J0214+517,33.5751,51.7478,2MASX J02141794+5144520,BL Lac,-,-,-,0,0,1,1 (    0)
74,NGC 863,33.6400,-0.766750,Mrk 590,Sy1.2,-,-,-,-,-,-,-
75,QSO B0212+735,34.3784,73.8257,QSO J0217+7349,BL Lac,-,-,-,0,0,1,1 (    0)
76,QSO J0217+0144,34.4540,1.74714,,Quasar,-,-,-,0,0,1,1 (    0)
77,QSO J0221+3556,35.2720,35.9370,0FGL J0220.9+3607,Quasar,-,-,-,0,0,2,1 (    0)
78,3C 66A,35.6651,43.0355,,BL Lac,-,-,8 ( 2.5),0,0,1,1 (    0)
79,RGB J0227+020,36.8191,2.03300,RBS 0319,BL Lac,-,-,-,0,0,1,1 (    0)
80,NGC 931,37.0608,31.3109,,Sy1.5,-,-,10 ( 2.5),2,0,6,1 (    0)
81,4C 67.05,37.2085,67.3508,4C +67.05,Blazar,-,-,8 ( 2.7),-,-,-,-
82,PKS 0227-369,37.3680,-36.7320,0FGL J0229.5-3640,Quasar,-,-,-,-,-,-,-
83,QSO B0229+200,38.2025,20.2881,1ES 0229+200,BL Lac,-,-,-,0,0,3,1 (    0)
84,CC Eri,38.5940,-43.7960,NULL,BY Dra variable,-,-,-,0,0,1,1 (    0)
85,NGC 985,38.6574,-8.78761,,Sy1,-,-,-,1,40,2,53784 ( 6397)
86,ESO 416- 2,38.8058,-29.6047,,Sy1.9,-,-,-,0,0,1,1 (    0)
87,PKS 0235-618,39.2220,-61.6040,QSO B0235-618,Quasar,-,-,-,0,0,1,1 (    0)
88,4C 28.07,39.4684,28.8025,CTD 20,Quasar,-,-,-,0,0,2,1 (    0)
89,ESO 198- 24,39.5817,-52.1928,,Sy1,-,21 ( 2.2),9 ( 4.1),0,0,1,1 (    0)
90,AO 0235+16,39.6622,16.6165,QSO B0235+16,BL Lac,-,-,-,0,0,1,1 (    0)
91,LSI+61 303,40.1319,61.2293,V615 Cas,HMXB,-,-,-,1,0,2,1 (    0)
92,QSO B0238-084,40.2700,-8.25576,NGC 1052,Sy2,-,-,-,-,-,-,-
93,Swift J0243.6+6124,40.9186,61.4323,NULL,NULL,343 (16.9),380 (21.7),458 (77.7),18,8470,416,58064 ( 2117)
94,QSO B0241+62,41.2404,62.4685,87GB 024100.7+621529,Sy1,-,-,-,3,56,12,53785 ( 6396)
95,PKS 0244-470,41.5000,-46.8550,0FGL J0245.6-4656,Radio galaxy,-,-,-,-,-,-,-
96,VY Ari,42.1821,31.1153,NULL,RS CVn variable,-,-,-,0,0,4,1 (    0)
97,RZ Cas,42.2313,69.6342,NULL,Algol type binary,-,-,-,-,-,-,-
98,PKS 0250-225,43.1990,-22.3240,CGRaBS J0252-2219,Quasar,-,-,-,-,-,-,-
99,NGC 1142,43.8013,-0.183806,,Sy2,-,-,-,1,0,1,1 (    0)
100,XY Ari,44.0340,19.4430,2E 0253.3+1914,CV/DQ Her,-,-,-,1,0,2,1 (    0)
101,PKS 0301-243,45.8600,-24.1200,0FGL J0303.7-2410,BL Lac,-,-,-,0,0,5,1 (    0)
102,4C 47.08,45.8968,47.2712,4C +47.08,BL Lac,-,-,-,0,0,3,1 (    0)
103,Algol,47.0421,40.9556,bet Per,Algol type binary,-,-,-,0,0,7,1 (    0)
104,LX Per,48.3433,48.1086,HD 21242,RS CVn variable,-,-,8 ( 2.5),0,76,3,59825 (  356)
105,RGB J0314+247,48.5117,24.7419,2MASX J03140275+2444334,Sy,-,-,-,-,-,-,-
106,IC 310,49.1790,41.3250,NULL,NULL,-,-,-,0,0,1,1 (    0)
107,NGC 1275,49.9500,41.5120,3C 84,Sy2,-,-,-,4,0,13,1 (    0)
108,QSO B0317+183,49.9660,18.7590,NULL,BL Lac,-,-,-,0,0,2,1 (    0)
109,SN 2006dd,50.6740,-37.2040,,SN,-,-,-,0,0,3,1 (    0)
110,RGB J0324.7+3410,51.1715,34.1794,B2 0321+33,Sy1,-,-,-,-,-,-,-
111,QSO B0323+022,51.5582,2.42075,1ES 0323+022,BL Lac,-,-,-,0,0,4,1 (    0)
112,UX Ari,51.6475,28.7150,NULL,RS CVn,-,-,-,0,47,8,56853 ( 3328)
113,GK Per,52.7992,43.9047,3A 0327+438,CV/DQ Her,-,-,-,3,56,151,55286 ( 4895)
114,NGC 1365,53.4013,-36.1408,,Sy1.8,-,-,-,2,81,8,53786 ( 6395)
115,PKS 0332-403,53.5570,-40.1400,0FGL J0334.1-4006,BL Lac,-,-,-,0,0,3,1 (    0)
116,UGC 2783,53.5770,39.3564,4C 39.12,Radio galaxy,-,-,-,0,0,3,1 (    0)
117,V0332+53,53.7500,53.1730,BQ Cam,HMXB/NS,-,-,-,2,1006,223,57235 ( 2946)
118,4C 32.14,54.1255,32.3082,NRAO 140,QSO,-,-,9 ( 2.0),1,0,2,1 (    0)
119,HR 1099,54.1971,0.587778,V711 Tau,RS CVn variable,-,-,-,0,0,2,1 (    0)
120,HD 22403,54.2958,25.9911,V837 Tau,BY Dra variable,-,-,-,-,-,-,-
121,QSO B0336-0156,54.8789,-1.77661,CTA 26,Quasar,-,-,-,0,0,2,1 (    0)
122,ESO 548- 81,55.5159,-21.2440,SWIFT J0342.0-2115,Sy1,-,-,-,-,-,-,-
123,QSO B0347-121,57.3467,-11.9908,RBS 0476,BL Lac,-,-,-,0,0,2,1 (    0)
124,PKS 0347-211,57.4910,-21.0470,0FGL J0349.8-2102,Quasar,-,-,12 ( 3.4),0,0,1,1 (    0)
125,X Per,58.8460,31.0460,4U 0352+309,HMXB/NS,-,-,12 ( 2.7),28,90,1686,55194 ( 4987)
126,YZ Ret,59.6231,-54.7781,NULL,NULL,-,-,-,-,-,-,-
127,IceCube-210922A,60.5221,-4.40780,NULL,NULL,-,-,-,-,-,-,-
128,NSV 1436,60.6580,42.8430,NULL,NULL,-,-,-,-,-,-,-
129,PKS 0402-362,60.9740,-36.0840,NULL,NULL,-,-,-,0,71,3,53784 ( 6397)
130,QSO B0403-132A,61.3917,-13.1371,,QSO,-,-,-,0,0,4,1 (    0)
131,PKS 0405-385,61.7460,-38.4410,0FGL J0407.6-3829,Quasar,-,-,-,-,-,-,-
132,EI Eri,62.4204,-7.89278,NULL,RS CVn variable,-,-,-,0,0,1,1 (    0)
133,QSO B0414+009,64.2208,1.08170,1ES 0414+009,BL Lac,-,-,-,0,0,1,1 (    0)
134,3C 111,64.5890,38.0270,ICRF J041821.2+380135,Sy1,-,-,-,4,0,3,1 (    0)
135,SGR 0418+5729,64.6060,57.4890,NULL,SGR,-,-,-,0,57,4,58105 ( 2076)
136,NGC 1566,65.0017,-54.9378,NULL,NULL,-,-,7 ( 2.9),-,-,-,-
137,GRO J0422+32,65.4250,32.9170,V518 Per,LMXB/BH,-,-,9 ( 2.0),0,0,4,1 (    0)
138,QSO J0423-0120,65.8158,-1.34252,QSO B0420-0127,Quasar,-,-,-,0,0,1,1 (    0)
139,QSO B0422+004,66.1952,0.601758,,BL Lac,-,-,-,0,32,2,53784 ( 6397)
140,1H 0419-577,66.5033,-57.2006,6dFGS gJ042600.7-571202,Sy1,-,-,-,1,0,3,1 (    0)
141,PKS 0426-380,67.1680,-37.9390,0FGL J0428.7-3755,BL Lac,-,-,-,-,-,-,-
142,3C 120,68.2960,5.35400,Mrk 1506,Sy1,-,-,-,3,0,3,1 (    0)
143,AT2019wey,68.8370,55.3740,NULL,NULL,-,36 ( 2.8),17 ( 5.3),41,141,348,60015 (  166)
144,HD 283750,69.2008,27.1322,V833 Tau,BY Dra variable,-,-,-,0,0,1,1 (    0)
145,GJ 3305,69.4062,-2.49111,2MASS J04373746-0229282,T Tauri star,-,-,-,0,0,2,1 (    0)
146,LSV+44 17,70.2470,44.5300,TYC 2905-121-1,HMXB/NS,-,-,-,1,2298,139,59976 (  205)
147,NRAO 190,70.6500,-0.283000,QSO B0440-003,Quasar,-,-,-,-,-,-,-
148,V392 Per,70.8390,47.3572,NULL,NULL,-,-,-,-,-,-,-
149,SWIFT J0444.1+2813,71.0375,28.2167,2MASX J04440903+2813003,Sy2,-,-,-,-,-,-,-
150,QSO B0446+113,72.2820,11.3579,,BL Lac,-,-,-,0,0,2,1 (    0)
151,PKS 0447-439,72.3530,-43.8360,0FGL J0449.7-4348,BL Lac,-,-,7 ( 2.4),0,0,3,1 (    0)
152,Swift J045106.8-694803,72.7780,-69.8010,Swift J0451.5-6949,LMC source,59 ( 2.5),-,-,-,-,-,-
153,MCG-01-13-025,72.9229,-3.80944,,Sy1.2,-,-,-,-,-,-,-
154,RX J0452.0+4932,73.0200,49.5460,1RXS J045205.0+493248,Sy1,-,-,-,1,0,3,1 (    0)
155,PKS 0454-234,74.2630,-23.4140,0FGL J0457.1-2325,Quasar,-,-,-,0,0,2,1 (    0)
156,YY Men,74.5746,-75.2772,NULL,Variable star,-,21 ( 2.0),-,-,-,-,-
157,SGR 0501+4516,75.2780,45.2762,1RXS J050107.9+451631,SGR,-,-,-,0,32,2,53784 ( 6397)
158,4C -02.19,75.3034,-1.98729,,Quasar,-,-,-,0,46,3,53784 ( 6397)
159,XSS J05054-2348,76.3500,-23.8000,Swift J0505.8-2351,Sy2 HII,-,-,-,1,75,5,53785 ( 6396)
160,QSO B0502+675,76.9846,67.6233,1ES 0502+675,QSO,-,-,-,-,-,-,-
161,TXS 0506+056,77.3582,5.69315,NULL,NULL,-,-,-,-,-,-,-
162,4U 0517+17,77.6896,16.4986,IRAS 050708+1626,Sy1.5,-,-,-,3,0,6,1 (    0)
163,SWIFT J0513.4-6547,78.3680,-65.7880,NULL,HMXB/NS,-,-,-,0,0,4,1 (    0)
164,4U 0513-40,78.5250,-40.0440,NGC 1851,LMXB/NS,-,-,-,2,0,1,1 (    0)
165,SWIFT J0515.3+1853,78.8320,18.9140,2MASX J05151978+1854515,Galaxy,-,-,-,1,0,1,1 (    0)
166,QSO B0513-002,79.0478,-0.150167,Ark 120,Sy1,-,-,-,2,0,1,1 (    0)
167,PKS 0516-621,79.1870,-62.1180,0FGL J0516.2-6200,Quasar,-,-,-,-,-,-,-
168,ESO 362- 18,79.8983,-32.6583,Swift J0501.9-3239,Sy1.5,-,-,-,2,0,2,1 (    0)
169,Pictor A,79.9570,-45.7790,NULL,Sy1/LINER,68 ( 2.2),-,15 ( 4.9),1,0,1,1 (    0)
170,LMC X-2,80.1168,-71.9648,4U 0520-72,LMXB,-,-,5 ( 2.1),-,-,-,-
171,RX J0520.5-6932,80.2200,-69.5790,NULL,NULL,-,-,-,1,39,32,56670 ( 3511)
172,VER J0521+211,80.4800,21.1900,NULL,Gamma-ray source,-,-,-,0,0,2,1 (    0)
173,QSO B0521-365,80.7416,-36.4586,PKS 0521-36,BL Lac,-,-,-,1,0,1,1 (    0)
174,SWIFT J052522.48+241331.8,81.3436,24.2255,Swift J0525.6+2416,CV,-,-,-,1,0,2,1 (    0)
175,SNR 0525-66.1,81.5040,-66.0770,N49,SNR,-,-,-,0,0,1,1 (    0)
176,AB Dor,82.1867,-65.4486,NULL,Variable star,-,-,-,0,0,1,1 (    0)
177,TV Col,82.3560,-32.8179,3A 0527-329,CV/DQ Her,-,-,-,3,56,7,59860 (  321)
178,Swift J053041.9-665426,82.6750,-66.9070,NULL,NULL,-,-,-,0,0,1,1 (    0)
179,PKS 0528+134,82.7350,13.5320,QSO J0530+13,FSRQ,-,-,-,0,0,4,1 (    0)
180,RX J0531.2-6607,82.8050,-66.1180,NULL,HMXB/NS,-,37 ( 2.5),-,0,0,2,1 (    0)
181,CRATES J0531-4827,82.9990,-48.4550,PMN J0531-4827,Radio source,-,-,-,0,0,2,1 (    0)
182,PMN J0532+0732,83.1625,7.54537,QSO B0529+075,Quasar,-,-,-,0,53,7,53784 ( 6397)
183,LMC X-4,83.2060,-66.3700,,HMXB/NS,79 ( 2.7),68 ( 5.6),16 ( 6.6),18,98,1572,57991 ( 2190)
184,QSO B0529+483,83.3161,48.3813,,Quasar,-,-,-,0,0,1,1 (    0)
185,Crab,83.6330,22.0150,M1,PSR/PWN,931 (22.4),956 (27.0),1016 (82.3),1000,5754,5632,60033 (  148)
186,SN 1987A,83.8750,-69.2670,,SN,-,-,-,0,0,2,1 (    0)
187,QSO B0537-441,84.7098,-44.0858,PKS 0537-441,Blazar,-,-,-,-,-,-,-
188,1A 0535+262,84.7250,26.3170,V725 Tau,HMXB/NS,-,-,-,9,11303,509,59172 ( 1009)
189,LMC X-3,84.7342,-64.0823,4U 0538-64,BH,-,-,6 ( 2.5),-,-,-,-
190,LMC X-1,84.9120,-69.7430,4U 0540-69,BH,-,-,-,1,0,2,1 (    0)
191,PSR B0540-69.3,85.0322,-69.3348,,Pulsar,-,-,-,1,0,6,1 (    0)
192,IGR J05414-6858,85.3580,-68.9730,,X-ray transient,-,-,-,0,0,1,1 (    0)
193,XMMU J054134.7-682550,85.3946,-68.4306,NULL,HMXB/NS,-,-,5 ( 2.0),0,52,15,54318 ( 5863)
194,BY Cam,85.7037,60.8588,,CV/AM Her,-,-,-,2,0,3,1 (    0)
195,TX Col,85.8343,-41.0320,,CV/DQ Her,-,-,-,0,0,2,1 (    0)
196,SWIFT J0549.7-6812,87.5273,-68.2486,NULL,NULL,-,-,-,0,0,4,1 (    0)
197,PKS 0548-322,87.6692,-32.2712,QSO B0548-322,BL Lac,-,-,-,1,0,2,1 (    0)
198,NGC 2110,88.0474,-7.45622,,Sy2,-,-,11 ( 2.6),10,41,120,56271 ( 3910)
199,MCG +8-11-11,88.7230,46.4390,UGC 3374,Sy1.5,-,-,19 ( 4.2),5,35,21,54269 ( 5912)
200,QSO J0555+3948,88.8784,39.8137,DA 193,Quasar,-,-,-,0,0,1,1 (    0)
201,MAXI J0556-332,89.1930,-33.1740,NULL,NULL,-,-,-,0,0,2,1 (    0)
202,V405 Aur,89.4970,53.8960,RX J0558.0+5353,CV/DQ Her,-,-,-,2,0,4,1 (    0)
203,LEDA 75476,89.5085,-38.3346,EXO 055620-3820.2,Sy1,-,-,-,1,0,2,1 (    0)
204,QSO B0558-504,89.9480,-50.4480,PKS 0558-504,Sy1,-,-,-,0,0,1,1 (    0)
205,SWIFT J0602.2+2829,90.5450,28.4720,IRAS 05589+2828,Sy1,-,-,-,2,0,3,1 (    0)
206,IGR J06074+2205,91.8500,22.0830,2MASS J06072661+2205477,HMXB,-,-,-,0,0,3,1 (    0)
207,QSO B0605-0834,91.9987,-8.58055,,Quasar,-,-,-,-,-,-,-
208,QSO B0607-157,92.4206,-15.7113,,Quasar,-,-,-,-,-,-,-
209,SWIFT J061223.0+701243,93.0960,70.2120,SW J0612.4+7013,Gamma-ray source,-,-,-,0,0,2,1 (    0)
210,PSR J0613-0200,93.4330,-2.01300,0FGL J0613.9-0202,Pulsar,-,-,-,-,-,-,-
211,0FGL J0614.3-3330,93.5430,-33.4980,PSR J0614-3330,Pulsar,-,-,-,0,0,1,1 (    0)
212,Mrk 3,93.9013,71.0375,,Sy2,-,-,-,5,0,13,1 (    0)
213,4U 0614+09,94.2800,9.13700,V1055 Ori,LMXB/NS,-,23 ( 2.1),25 ( 5.6),20,57,724,55366 ( 4815)
214,0FGL J0617.4+2234,94.5110,22.6600,IC 433,SNR,-,-,-,0,0,2,1 (    0)
215,1A 0620-00,95.6750,-0.350000,V616 Mon,LMXB/BH,-,-,-,-,-,-,-
