Row,Source Name,RA J2000 Degs,Dec J2000 Degs,Alternate Name,Source Type,Today#,Yesterday#,Tenday#,Mean*,Peak*,Days*,Last Day*
216,XMMSL1 J063045.9-603110,97.6910,-60.5190,NULL,NULL,-,-,-,-,-,-,-
217,PSR J0631+1036,97.8650,10.6170,0FGL J0631.8+1034,Pulsar,-,-,-,0,0,2,1 (    0)
218,HESS J0632+057,98.2470,5.80000,HD 259440,Be Star,-,-,-,-,-,-,-
219,PSR J0633+06,98.3870,6.57800,0FGL J0633.5+0634,Pulsar,-,-,-,-,-,-,-
220,Geminga,98.4750,17.7670,SN 437,Pulsar,-,26 ( 2.2),-,0,0,2,1 (    0)
221,MAXI J0636+146,99.3508,14.6314,NULL,NULL,-,-,-,-,-,-,-
222,V959 Mon,99.9114,5.89778,NULL,NULL,-,-,-,-,-,-,-
223,ESO 490- 26,100.049,-25.8939,SWIFT J0640.4-2554,Sy1.2,-,-,-,-,-,-,-
224,Fermi J0641-0317,100.465,-3.34700,NULL,NULL,-,-,-,-,-,-,-
225,SU Lyn,100.730,55.4742,NULL,NULL,-,-,-,-,-,-,-
226,0FGL J0643.2+0858,100.860,8.96000,PMN J0643+0857,AGN,-,-,-,-,-,-,-
227,RGB J0643+422,100.862,42.2386,87GB 063957.4+421729,BL Lac,-,-,-,-,-,-,-
228,QSO J0646+4451,101.633,44.8546,OH 471,Quasar,-,-,-,-,-,-,-
229,PKS 0648-16,102.602,-16.6277,,Radio source,-,-,-,0,0,1,1 (    0)
230,QSO B0647+250,102.694,25.0500,1ES 0647+250,BL Lac,-,-,-,-,-,-,-
231,Mrk 6,103.051,74.4269,IC 450,Sy1.5,-,-,-,1,44,8,58105 ( 2076)
232,BWE 0650+5046,103.592,50.7070,0FGL J0654.3+5042,Blazar,-,-,-,0,0,1,1 (    0)
233,B3 0650+453,103.599,45.2400,0FGL J0654.3+4513,Quasar,-,-,-,0,0,1,1 (    0)
234,MAXI J0655-013,103.793,-1.53100,NULL,NULL,-,-,-,13,699,39,59761 (  420)
235,MXB 0656-072,104.572,-7.21000,2E 0655.8-0708,HMXB/NS,-,-,-,1,188,88,54750 ( 5431)
236,PKS 0700-661,105.130,-66.1790,0FGL J0700.0-6611,Quasar,-,-,-,0,0,1,1 (    0)
237,QSO B0706+591,107.625,59.1390,RGB J0710+591,BL Lac,-,-,-,0,0,4,1 (    0)
238,BWE 0708+5038,108.182,50.5560,0FGL J0712.9+5034,BL Lac,-,-,-,-,-,-,-
239,BWE 0711+1940,108.482,19.5830,0FGL J0714.2+1934,Quasar,-,-,-,0,0,1,1 (    0)
240,TXS 0716+332,109.831,33.1190,0FGL J0719.4+3302,Quasar,-,-,-,-,-,-,-
241,QSO B0716+714,110.475,71.3330,1H 0717+71,BL Lac,-,-,-,0,0,1,1 (    0)
242,4U 0728-25,112.223,-26.1081,V441 Pup,HXMB/NS,-,-,-,1,0,1,1 (    0)
243,2CG 235-01,112.500,-20.4000,,Gamma-ray source,-,-,-,-,-,-,-
244,QSO J0730-116,112.580,-11.6868,,Quasar,-,-,11 ( 2.0),-,-,-,-
245,QSO B0730+504,113.469,50.3692,87GB 073004.4+502852,Sy1,-,-,-,0,0,1,1 (    0)
246,YY Gem,113.656,31.8694,NULL,BY Dra variable,-,-,-,0,0,3,1 (    0)
247,QSO J0738+1742,114.531,17.7053,,BL Lac,-,-,-,-,-,-,-
248,QSO B0736+01,114.825,1.61795,,Quasar,-,-,-,-,-,-,-
249,QSO J0741+3111,115.295,31.2001,OI 363,Sy1,-,-,-,-,-,-,-
250,Mrk 79,115.637,49.8093,,Sy1.2,-,-,-,-,-,-,-
251,Sigma Gem,115.828,28.8836,NULL,RS CVn variable,-,-,15 ( 2.2),-,-,-,-
252,YZ CMi,116.167,3.55200,NULL,Flare star,-,-,-,-,-,-,-
253,PKS 0742+10,116.388,10.1869,QSO B0742+103,Quasar,-,-,-,0,0,1,1 (    0)
254,SWIFT J0746.3+2548,116.608,25.8170,B2 0743+25,Blazar,-,-,-,-,-,-,-
255,SWIFT J0746.6-2725,116.654,-27.4240,NULL,NULL,-,-,13 ( 2.5),-,-,-,-
256,EXO 0748-676,117.139,-67.7500,UY Vol,LMXB/NS,-,-,-,4,39,277,53433 ( 6748)
257,QSO B0748+126,117.717,12.5180,,Quasar,-,-,-,-,-,-,-
258,PQ Gem,117.822,14.7400,RX J0751.2+1444,CV/DQ Her,-,-,-,1,0,2,1 (    0)
259,QSO B0754+10,119.278,9.94301,,BL Lac,-,-,-,-,-,-,-
260,IGR J07597-3842,119.924,-38.7320,Swift J0759.8-3844,Sy1.2,-,-,-,1,0,3,1 (    0)
261,MAXI J0758-456,120.321,-46.3910,NULL,NULL,-,-,8 ( 2.1),-,-,-,-
262,IGR J08023-6954,120.570,-69.9100,DENIS-P J080241.6-695338,X-ray source,-,-,-,-,-,-,-
263,Mrk 1210,121.024,5.11400,Pheonix Galaxy,Sy2,-,-,-,2,0,2,1 (    0)
264,QSO B0805-077,122.065,-7.85275,,Quasar,-,-,-,-,-,-,-
265,QSO B0804+4959,122.165,49.8435,,Quasar,-,-,-,-,-,-,-
266,QSO B0806+524,122.455,52.3161,1ES 0806+524,BL Lac,-,-,-,-,-,-,-
267,QSO B0808+019,122.861,1.78117,,BL Lac,-,-,22 ( 2.9),-,-,-,-
268,NOVAPUPPIS 2007,124.075,-34.2570,NULL,Nova,-,47 ( 2.4),-,-,-,-,-
269,QSO B0814+425,124.567,42.3793,,BL Lac,-,-,-,0,0,2,1 (    0)
270,TXS 0820+560,126.197,55.8780,0FGL J0824.9+5551,Quasar,-,-,10 ( 2.3),-,-,-,-
271,QSO B0823+033,126.460,3.15681,,BL Lac,-,-,-,0,0,1,1 (    0)
272,PKS 0823-223,126.507,-22.5070,0FGL J0826.0-2228,BL Lac,-,-,-,0,0,1,1 (    0)
273,QSO J0830+2411,127.717,24.1833,,Quasar,-,-,-,0,0,2,1 (    0)
274,QSO B0829+047,127.954,4.49419,PKS 0829+046,BL Lac,-,-,-,-,-,-,-
275,Vela Pulsar,128.833,-45.1760,PSR B0833-45,Pulsar,-,-,-,6,36,13,56090 ( 4091)
276,GS 0834-430,128.979,-43.1850,NULL,HMXB/NS,-,-,-,1,275,50,56121 ( 4060)
277,SAX J0835.9+5118,128.983,51.3100,SAX0835.9+5118,LMXB,-,-,-,0,0,1,1 (    0)
278,4U 0836-42,129.345,-42.8860,X 0836-429,LMXB,-,-,-,0,0,1,1 (    0)
279,NGC 2622,129.546,24.8953,Markarian 1218,Sy1,-,-,-,0,0,3,1 (    0)
280,EI UMa,129.592,48.6338,RX J0838.3+4838,CV/DQ Her,-,-,-,1,0,1,1 (    0)
281,SWIFT J0840.7-3516,130.171,-35.2736,NULL,NULL,-,-,-,0,0,1,1 (    0)
282,IGR J08408-4503,130.197,-45.0580,LM Vel,HMXB/SFXT,-,-,-,0,71,5,55798 ( 4383)
283,3C 207,130.198,13.2060,2MASS J08404758+1312238,Sy1,-,-,36 ( 2.7),0,0,1,1 (    0)
284,4C +71.07,130.352,70.8950,1ES 0836+710,Blazar,-,-,-,2,0,1,1 (    0)
285,V549 Vel,132.623,47.7579,NULL,NULL,-,-,-,-,-,-,-
286,3EG J0853+1941,133.704,20.1085,OJ 287,BL Lac,-,-,-,0,0,1,1 (    0)
287,TY Pyx,134.928,-27.8164,NULL,RS CVn variable,-,-,-,0,0,3,1 (    0)
288,UGC 4730,135.494,60.1514,Mrk 18,Sy2,-,-,-,-,-,-,-
289,Fermi J0902-4624,135.525,-46.3800,NULL,NULL,-,-,-,-,-,-,-
290,Vela X-1,135.529,-40.5550,GP Vel,HMXB/NS,241 (15.1),306 (15.7),220 (41.7),128,2655,5165,56544 ( 3637)
291,T Pyx,136.173,-32.3800,NULL,NULL,-,43 ( 2.1),-,-,-,-,-
292,3EG J0903-3531,136.250,-35.4500,GRO J0902-35,Gamma-ray source,-,-,-,-,-,-,-
293,MAXI J0903-531,136.279,-53.5052,NULL,NULL,-,26 ( 2.1),-,6,0,1,1 (    0)
294,4C 01.24B,137.292,1.35989,4C +01.24,Quasar,-,-,-,0,0,2,1 (    0)
295,NGC 2770,137.378,33.1390,NULL,Galaxy in group,-,-,-,-,-,-,-
296,PKS 0907+022,137.416,2.00100,0FGL J0909.7+0145,BL Lac,-,-,-,-,-,-,-
297,BWE 0907+3341,137.654,33.4901,87GB 090732.2+334151,BL Lac,-,-,-,0,0,2,1 (    0)
298,Fermi_J0910-5041,137.690,-50.7400,NULL,Gamma-ray source,-,-,14 ( 3.9),-,-,-,-
299,SWIFT J0911.9-6452,137.975,-64.8810,NULL,NULL,-,-,-,8,0,2,1 (    0)
300,IRAS 09149-6206,139.039,-62.3250,6dFGS gJ091609.4-621930,Sy1,-,-,-,1,0,1,1 (    0)
301,Mrk 704,139.608,16.3050,NULL,Sy1.5,-,-,-,-,-,-,-
302,2S 0918-549,140.116,-55.2040,4U 0919-54,LMXB/NS,-,-,8 ( 2.4),4,0,10,1 (    0)
303,MCG-01-24-012,140.193,-8.05608,SWIFT J0920.8-0805,Sy2,-,-,-,1,0,3,1 (    0)
304,QSO B0917+449,140.243,44.6980,NULL,Quasar,-,39 ( 4.1),18 ( 2.7),0,0,1,1 (    0)
305,QSO B0917+624,140.401,62.2645,,Quasar,-,-,-,0,0,1,1 (    0)
306,BF Lyn,140.608,40.2011,NULL,BY Dra variable,-,39 ( 4.0),18 ( 2.7),0,0,2,1 (    0)
307,MCG+04-22-042,140.929,22.9092,,Sy1.2,-,-,-,1,0,2,1 (    0)
308,Mrk 110,141.304,52.2863,,Sy1,-,-,14 ( 2.9),2,0,1,1 (    0)
309,2CG 054+01,141.350,19.6330,SN 1230,SN,-,-,-,0,0,1,1 (    0)
310,4C 39.25,141.763,39.0391,ICRF J092703.0+390220,Sy1,-,36 ( 3.5),24 ( 3.2),-,-,-,-
311,XTE J0929-314,142.330,-31.3900,INTREF 390,XRB,-,-,-,-,-,-,-
312,QSO B0927+500,142.657,49.8400,1ES 0927+500,BL Lac,-,-,-,0,0,3,1 (    0)
313,LQ Hya,143.107,-11.1847,NULL,BY Dra variable,-,127 ( 2.5),-,0,0,1,1 (    0)
314,NGC 2992,146.425,-14.3264,,Sy2,-,-,-,2,0,1,1 (    0)
315,MCG -5-23-16,146.917,-30.9490,ESO 434-40,Sy2,-,-,19 ( 3.5),9,38,61,55075 ( 5106)
316,4C 40.24,147.231,40.6624,[HB89] 0945+408,QSO/FSRQ,-,-,-,0,0,3,1 (    0)
317,PMN J0948+0022,147.243,0.371000,0FGL J0948.3+0019,Sy1,-,-,-,0,0,2,1 (    0)
318,SN 1993J,148.850,69.0170,,SN,120 ( 2.2),-,-,0,0,1,1 (    0)
319,SN 2014J,148.926,69.6740,Supernova in M82,SN,-,19 ( 2.0),10 ( 2.8),-,-,-,-
320,4C +55.17,149.409,55.3820,0FGL J0957.6+5522,Quasar,-,-,-,-,-,-,-
321,4C 47.31,149.582,47.4188,,Quasar,-,-,-,0,0,1,1 (    0)
322,QSO B0954+65,149.697,65.5650,NULL,BL Lac,-,-,-,-,-,-,-
323,NGC 3081,149.873,-22.8263,,Sy2,-,-,-,3,0,3,1 (    0)
324,DH Leo,150.007,24.5528,HD 86590,Multiple star,-,-,-,0,0,1,1 (    0)
325,GRO J1008-57,152.433,-58.2950,[KRL2007b] 84,HMXB/NS,-,-,-,7,1009,673,56256 ( 3925)
326,IGR J10109-5746,152.762,-57.8040,CD-57 3057,Symb/WD,-,-,-,1,0,2,1 (    0)
327,RGB J1012+424,153.185,42.4997,87GB 100943.6+424459,BL Lac,-,-,-,-,-,-,-
328,GRS 1009-45,153.401,-45.0750,MM Vel,LMXB/BH,-,-,-,-,-,-,-
329,QSO B1011+496,153.767,49.4335,1ES 1011+496,BL Lac,-,-,12 ( 2.4),0,0,1,1 (    0)
330,QSO J1016+0513,154.013,5.21700,0FGL J1015.9+0515,Quasar,-,-,-,0,0,1,1 (    0)
331,0FGL J1018.2-5858,154.675,-58.9380,1FGL J1018.6-5856,XRB,-,22 ( 2.2),-,-,-,-,-
332,AD Leo,154.901,19.8700,NULL,Flare star,-,-,-,0,0,1,1 (    0)
333,AGL J1023-3738,155.819,-37.6440,NULL,Gamma-ray source,-,-,-,-,-,-,-
334,0FGL J1024.0-5754,155.875,-57.8320,1FGL J1024.0-5756,Gamma-ray source,-,-,-,0,0,2,1 (    0)
335,NGC 3227,155.878,19.8649,,Sy1.5,-,-,-,4,0,7,1 (    0)
336,PSR J1023+0038,155.949,0.645000,NULL,NULL,-,-,-,-,-,-,-
337,IGR J10252-6829,156.252,-68.4570,[KRL2007b] 88,X-ray source,-,-,-,0,0,1,1 (    0)
338,SWIFT J1025.8-4107,156.459,-41.1170,NULL,NULL,-,-,-,-,-,-,-
339,PSR J1028-5819,157.117,-58.3180,0FGL J1028.6-5817,Pulsar,-,-,-,-,-,-,-
340,QSO B1028+511,157.827,50.8930,1ES 1028+511,BL Lac,-,-,-,-,-,-,-
341,NGC 3281,157.967,-34.8537,,Sy2,-,-,13 ( 2.9),3,0,3,1 (    0)
342,S4 1030+61,158.464,60.8520,0FGL J1034.0+6051,Sy1,-,-,-,-,-,-,-
343,V906 Car,159.064,-59.5983,NULL,NULL,-,-,-,-,-,-,-
344,SWIFT J1037.8-5652,159.398,-56.8030,RX J1037.5-5647,HMXB/NS,-,-,7 ( 2.3),2,0,1,1 (    0)
345,SWIFT J1038.8-4942,159.688,-49.7819,1RXS J103845.2-494709,Sy1,-,-,-,0,0,2,1 (    0)
346,JVAS B1036+054,159.695,5.20808,87GB 103608.8+052818,Quasar,-,-,-,-,-,-,-
347,IGR J10404-4625,160.093,-46.4240,Swift J1040.7-4619,Sy2,-,-,-,-,-,-,-
348,1RXS J1040.9+1342,160.243,13.6975,NULL,NULL,-,-,-,-,-,-,-
349,4C 06.41,160.322,6.17137,,Quasar,-,-,17 ( 2.1),0,0,1,1 (    0)
350,eta Car,161.265,-59.6840,CCDM J10451-5941APQ,Star,-,-,-,-,-,-,-
351,HD 305560,161.619,-60.5640,NULL,NULL,-,-,-,0,54,1,56932 ( 3249)
352,QSO B1045-188,162.028,-19.1599,ICRF J104806.6-190935,Sy1,-,-,-,-,-,-,-
353,PSR J1048-5832,162.051,-58.5350,0FGL J1047.6-5834,Pulsar,-,-,7 ( 2.3),0,0,1,1 (    0)
354,Mrk 417,162.379,22.9644,SWIFT J1049.4+2258,Sy2,-,-,-,1,0,1,1 (    0)
355,1E 1048.1-5937,162.537,-59.8889,2E 1048.1-5937,HMXB,-,-,-,-,-,-,-
356,MS 1050.7+4946,163.434,49.4990,0FGL J1053.7+4926,BL Lac,-,-,-,0,0,1,1 (    0)
357,BWE 1051+2227,163.627,22.1820,0FGL J1054.5+2212,Gamma-ray source,-,-,34 ( 2.3),0,47,3,53786 ( 6395)
358,DM UMa,163.931,60.4694,NULL,RS CVn variable,-,-,-,0,0,2,1 (    0)
359,Fermi J1057-6027,164.308,-60.4580,NULL,Gamma-ray source,-,-,-,-,-,-,-
360,PSR B1055-52,164.500,-52.4500,,Pulsar,-,23 ( 2.5),-,-,-,-,-
361,4C 01.28,164.623,1.56634,4C +01.28,Quasar,-,-,-,0,0,1,1 (    0)
362,RGB J1058+564,164.657,56.4698,87GB 105536.5+564424,BL Lac,-,-,-,-,-,-,-
363,PKS 1057-79,164.680,-80.0650,0FGL J1100.2-8000,BL Lac,-,-,-,-,-,-,-
364,SWIFT J1101.5+7913,165.378,79.2170,NULL,NULL,-,-,-,-,-,-,-
365,1A 1059-22,165.907,-23.4917,1ES 1101-232,BL Lac,39 ( 2.3),-,-,0,0,1,1 (    0)
366,Mrk 421,166.114,38.2090,,BL Lac,-,-,-,5,122,240,53934 ( 6247)
367,NGC 3516,166.698,72.5690,,Sy1.5,-,-,7 ( 2.3),3,0,9,1 (    0)
368,IGR J11085-5100,167.210,-51.0420,[KRL2007b] 94,X-ray source,-,-,-,-,-,-,-
369,SWIFT J1112.2-8238,167.949,-82.6460,NULL,NULL,-,-,-,-,-,-,-
370,V679 Car,168.474,-61.2300,NULL,NULL,-,-,-,-,-,-,-
371,RX J1117.1+2014,169.276,20.2353,2MASS J11170625+2014073,BL Lac,-,-,33 ( 2.7),0,70,3,53786 ( 6395)
372,XTE J1118+480,169.545,48.0370,KV UMa,LMXB/BH,-,-,-,-,-,-,-
373,BWE 1118+4228,170.198,42.2047,1ES 1118+424,BL Lac,-,-,-,0,0,1,1 (    0)
374,1A 1118-61,170.238,-61.9170,2E 1118.7-6138,HMXB/NS,23 ( 2.2),-,7 ( 2.3),1,543,70,54846 ( 5335)
375,Cen X-3,170.313,-60.6230,V779 Cen,HMXB/NS,19 ( 2.1),21 ( 2.3),14 ( 5.0),60,362,4036,58444 ( 1737)
376,PKS 1118-056,170.355,-5.89900,[VV98] J112125.1-055356,Quasar,-,-,-,0,0,2,1 (    0)
377,IGR J11215-5952,170.438,-59.8670,USNO-B1.0 0301-00239906,HMXB,-,-,-,0,0,1,1 (    0)
378,0FGL J1123.0-6416,170.831,-64.2930,1FGL J1122.9-6415,AGN,-,-,-,-,-,-,-
379,V357 Mus,171.563,-65.5231,NULL,NULL,-,-,-,-,-,-,-
380,Nova Mus 1991,171.600,-68.6830,GU Mus,LMXB/BH,-,-,-,0,0,1,1 (    0)
381,QSO B1124-186,171.768,-18.9548,,Quasar,-,-,-,-,-,-,-
382,QSO J1130-1449,172.529,-14.8243,PKS 1127-14,Blazar,-,-,17 ( 2.9),0,0,1,1 (    0)
383,IGR J11305-6256,172.779,-62.9470,Swift J1131.0-6256,HMXB,-,-,-,-,-,-,-
384,IGR J11321-5311,173.025,-53.1830,[KRL2007b] 98,X-ray source,-,-,-,0,0,1,1 (    0)
385,Mrk 180,174.110,70.1576,QSO B1133+704,BL Lac,-,-,-,0,40,2,53786 ( 6395)
386,BWE 1133+6753,174.125,67.6179,RX J1136.5+6737,BL Lac,-,-,-,0,0,1,1 (    0)
387,NGC 3783,174.757,-37.7390,,Sy1,-,-,-,6,0,16,1 (    0)
388,HD 101379,174.875,-65.3978,NULL,Double star,-,-,-,0,0,7,1 (    0)
389,RW UMa,175.193,51.9981,NULL,RS CVn variable,-,-,-,-,-,-,-
390,DO Dra,175.910,71.6890,NULL,CV/DQ Her,-,-,-,0,0,4,1 (    0)
391,IGR J11435-6109,176.001,-61.1270,1RXS J114358.1-610736,HMXB/NS,-,-,-,2,0,15,1 (    0)
392,UGC 6728,176.317,79.6820,NULL,Sy1.2,-,-,-,-,-,-,-
393,1A 1143-18,176.419,-18.4540,2MASX J11454045-1827149,Sy1,-,-,-,1,0,1,1 (    0)
394,PKS 1144-379,176.756,-38.2030,0FGL J1146.7-3808,BL Lac,-,-,-,-,-,-,-
395,1E 1145.1-6141,176.869,-61.9540,Swift J1147.2-6156B,HMXB/NS,-,44 ( 4.7),19 ( 6.2),18,176,772,54546 ( 5635)
396,H 1145-619,177.000,-62.2070,4U 1145-61,HMXB,-,-,-,0,71,12,57270 ( 2911)
397,8C 1150+81,178.302,80.9748,,Quasar,-,-,-,0,0,3,1 (    0)
398,7C 1156+2931,179.883,29.2455,4C 29.45,Quasar,-,-,14 ( 2.1),0,0,2,1 (    0)
399,SWIFT J1200.8+0650,180.241,6.80642,CGCG 041-020,Sy2,-,-,-,0,0,3,1 (    0)
400,IGR J12026-5349,180.698,-53.8350,LEDA 38038,Sy2,-,-,-,2,0,3,1 (    0)
401,NGC 4051,180.790,44.5313,,Sy1.5,-,23 ( 2.0),-,2,0,6,1 (    0)
402,NGC 4074,181.124,20.3162,ARK 347,Sy2,-,-,-,-,-,-,-
403,NGC 4102,181.596,52.7109,,Liner,-,-,10 ( 2.6),-,-,-,-
404,NGC 4138,182.374,43.6850,,Sy1.9,-,-,10 ( 2.4),0,0,2,1 (    0)
405,NGC 4151,182.633,39.4060,,Sy1.5,44 ( 2.4),40 ( 3.2),34 ( 7.1),23,70,2490,57373 ( 2808)
406,RX J1211.9+2242,182.994,22.7089,2MASS J12115866+2242329,BL Lac,-,-,-,0,0,3,1 (    0)
407,4U 1210-64,183.450,-64.8380,NULL,HMXB/NS,-,-,-,-,-,-,-
408,QSO B1212+078,183.800,7.53889,NULL,BL Lac,-,-,-,-,-,-,-
409,DK Dra,183.923,72.5511,NULL,RS CVn variable,-,-,-,-,-,-,-
410,PKS 1213-17,183.945,-17.5293,QSO B1213-17,Blazar?,-,-,-,-,-,-,-
411,QSO B1215+303,184.467,30.1168,1ES 1215+303,BL Lac,-,-,-,-,-,-,-
412,QSO B1218+304,185.341,30.1770,1ES 1218+304,BL Lac,-,-,-,0,0,2,1 (    0)
413,QSO B1219+285,185.375,28.2330,W Comae,BL Lac,-,-,-,0,31,3,53786 ( 6395)
414,4C 04.42,185.594,4.22105,1ES 1219+044,Blazar,-,-,-,0,38,2,53786 ( 6395)
415,4C 21.35,186.227,21.3796,Swift J1224.9+2124,Blazar,-,-,-,0,0,2,1 (    0)
416,NGC 4388,186.445,12.6620,,Sy2,-,-,-,8,36,78,53953 ( 6228)
417,Virgo Cluster,186.630,12.7200,,Galaxy cluster,-,-,-,0,0,3,1 (    0)
418,GX 301-2,186.657,-62.7700,BP Cru,HMXB/NS,-,112 (11.9),98 (31.3),106,1637,5438,54568 ( 5613)
419,XSS J12270-4859,186.995,-48.8956,1RXS J122758.8-485343,CV?,-,-,-,-,-,-,-
420,3C 273,187.278,2.05200,,Blazar,-,-,-,11,42,208,54063 ( 6118)
421,GRS 1227+025,187.475,2.13300,,X-ray source,-,-,-,0,0,2,1 (    0)
422,M87,187.706,12.3911,M87,AGN,-,-,12 ( 2.2),-,-,-,-
423,IGR J12349-6434,188.724,-64.5650,RT Cru,Symb/WD,-,-,-,4,0,2,1 (    0)
424,NGC 4507,188.903,-39.9090,,Sy2,-,-,-,7,0,17,1 (    0)
425,AM 1236-270,189.727,-27.3078,ESO 506-027,Sy2,-,-,-,2,38,1,53490 ( 6691)
426,NGC 4593,189.914,-5.34425,,Sy1,-,-,14 ( 3.0),2,0,4,1 (    0)
427,IGR J12415-5750,190.357,-57.8340,Swift J1241.6-5748,Sy2,-,-,-,1,0,3,1 (    0)
428,Swift J1242.9-3530,190.725,-35.5110,NULL,NULL,-,-,-,-,-,-,-
429,PKS 1244-255,191.695,-25.7970,0FGL J1246.6-2544,Quasar,-,-,-,-,-,-,-
430,PG 1246+586,192.078,58.3410,0FGL J1248.7+5811,BL Lac,-,-,-,0,33,2,53785 ( 6396)
431,4U 1246-58,192.414,-59.0870,1A 1246-588,LMXB,-,-,-,3,158,7,57415 ( 2766)
432,S4 1250+53,193.297,53.0180,0FGL J1253.4+5300,BL Lac,-,-,-,0,0,2,1 (    0)
433,3C 279,194.047,-5.78900,,Blazar,-,-,-,1,0,1,1 (    0)
434,QSO B1255+244,194.383,24.2111,1ES 1255+244,BL Lac,-,-,-,0,31,4,53785 ( 6396)
